/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 156 | Reward: 9.0 | Q Loss: -3114138599424.0 | Steps: 1525
Episode: 157 | Reward: 10.0 | Q Loss: -2830972747776.0 | Steps: 1535
Episode: 158 | Reward: 9.0 | Q Loss: -3184021209088.0 | Steps: 1544
Episode: 159 | Reward: 10.0 | Q Loss: -3366456393728.0 | Steps: 1554
Episode: 160 | Reward: 8.0 | Q Loss: -3228681371648.0 | Steps: 1562
Episode: 161 | Reward: 9.0 | Q Loss: -3166120706048.0 | Steps: 1571
Episode: 162 | Reward: 10.0 | Q Loss: -3463183859712.0 | Steps: 1581
Episode: 163 | Reward: 9.0 | Q Loss: -3849284747264.0 | Steps: 1590
Episode: 164 | Reward: 11.0 | Q Loss: -3352980357120.0 | Steps: 1601
Episode: 165 | Reward: 10.0 | Q Loss: -4036895965184.0 | Steps: 1611
Episode: 166 | Reward: 10.0 | Q Loss: -3858973065216.0 | Steps: 1621
Episode: 167 | Reward: 9.0 | Q Loss: -3844780064768.0 | Steps: 1630
Episode: 168 | Reward: 10.0 | Q Loss: -3780631855104.0 | Steps: 1640
Episode: 169 | Reward: 8.0 | Q Loss: -3908543971328.0 | Steps: 1648
Episode: 170 | Reward: 10.0 | Q Loss: -4051799900160.0 | Steps: 1658
Episode: 171 | Reward: 9.0 | Q Loss: -4779793186816.0 | Steps: 1667
Episode: 172 | Reward: 9.0 | Q Loss: -4720294363136.0 | Steps: 1676
Episode: 173 | Reward: 9.0 | Q Loss: -4802919530496.0 | Steps: 1685
Episode: 174 | Reward: 9.0 | Q Loss: -5057366982656.0 | Steps: 1694
Episode: 175 | Reward: 10.0 | Q Loss: -4954322370560.0 | Steps: 1704
Episode: 176 | Reward: 10.0 | Q Loss: -4899403202560.0 | Steps: 1714
Episode: 177 | Reward: 8.0 | Q Loss: -5417549692928.0 | Steps: 1722
Episode: 178 | Reward: 9.0 | Q Loss: -5438971052032.0 | Steps: 1731
Episode: 179 | Reward: 9.0 | Q Loss: -5428713881600.0 | Steps: 1740
Episode: 180 | Reward: 10.0 | Q Loss: -5636184080384.0 | Steps: 1750
Episode: 181 | Reward: 9.0 | Q Loss: -5406931812352.0 | Steps: 1759
Episode: 182 | Reward: 10.0 | Q Loss: -5951504515072.0 | Steps: 1769
Episode: 183 | Reward: 10.0 | Q Loss: -6322408390656.0 | Steps: 1779
Episode: 184 | Reward: 8.0 | Q Loss: -5949040361472.0 | Steps: 1787
Episode: 185 | Reward: 9.0 | Q Loss: -4941469974528.0 | Steps: 1796
Episode: 186 | Reward: 9.0 | Q Loss: -7095583768576.0 | Steps: 1805
Episode: 187 | Reward: 10.0 | Q Loss: -6987278974976.0 | Steps: 1815
Episode: 188 | Reward: 10.0 | Q Loss: -7536808820736.0 | Steps: 1825
Episode: 189 | Reward: 9.0 | Q Loss: -8004920410112.0 | Steps: 1834
Episode: 190 | Reward: 10.0 | Q Loss: -8037342380032.0 | Steps: 1844
Episode: 191 | Reward: 10.0 | Q Loss: -8019814383616.0 | Steps: 1854
Episode: 192 | Reward: 10.0 | Q Loss: -9829376589824.0 | Steps: 1864
Episode: 193 | Reward: 10.0 | Q Loss: -8676932845568.0 | Steps: 1874
Episode: 194 | Reward: 11.0 | Q Loss: -8667924004864.0 | Steps: 1885
Episode: 195 | Reward: 10.0 | Q Loss: -8714935336960.0 | Steps: 1895
Episode: 196 | Reward: 10.0 | Q Loss: -8861765337088.0 | Steps: 1905
Episode: 197 | Reward: 8.0 | Q Loss: -8731269005312.0 | Steps: 1913
Episode: 198 | Reward: 9.0 | Q Loss: -9579927699456.0 | Steps: 1922
Episode: 199 | Reward: 9.0 | Q Loss: -10802266374144.0 | Steps: 1931
Episode: 200 | Reward: 9.0 | Q Loss: -10444427231232.0 | Steps: 1940
